assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,10.3,nM,=,CHEMBL81260
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,0.9,nM,=,CHEMBL55380
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CNc1ccc(-c2cn3cc(C)ccc3n2)cc1,2000.0,nM,>,CHEMBL78410
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CNc1ccc(-c2cn3ccccc3n2)cc1,1000.0,nM,>,CHEMBL81685
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,Cc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,242.0,nM,=,CHEMBL78621
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2cn3ccccc3n2)cc1,2000.0,nM,>,CHEMBL312622
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2nc3ccc(I)cn3c2I)cc1,2000.0,nM,>,CHEMBL310444
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,Cc1ccc2nc(-c3ccc(Br)cc3)cn2c1,638.0,nM,=,CHEMBL78765
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc2nc(-c3ccc(Br)cc3)cn2c1,339.0,nM,=,CHEMBL309920
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2cn3cc(I)ccc3n2)cc1,15.0,nM,=,CHEMBL78012
Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,Ki,CN(C)c1ccc(-c2nc3ccccn3c2I)cc1,2000.0,nM,>,CHEMBL311035
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1,19.0,%,=,CHEMBL1089750
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,31.0,%,=,CHEMBL311039
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,5000.0,nM,=,CHEMBL311039
