assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type,structure_curated,substance_type_name,pIC50
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,5000.0,nM,=,CHEMBL311039,active,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,organic,5.301029995663981
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,2700.0,nM,=,CHEMBL450926,active,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,organic,5.568636235841013
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,1800.0,nM,=,CHEMBL310242,active,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,organic,5.7447274948966935
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,11000.0,nM,=,CHEMBL74874,inactive,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,organic,4.958607314841775
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,10000.0,nM,=,CHEMBL75183,active,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,organic,5.0
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,305000.0,nM,=,CHEMBL563,inactive,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,organic,3.515700160653214
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,75000.0,nM,=,CHEMBL196279,inactive,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,organic,4.1249387366083
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,77000.0,nM,=,CHEMBL195970,inactive,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,organic,4.113509274827518
Concentration required to inhibit A beta 40 peptide,IC50,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,94000.0,nM,=,CHEMBL195970,inactive,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,organic,4.026872146400302
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,21000.0,nM,=,CHEMBL264006,inactive,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,organic,4.6777807052660805
Concentration required to inhibit A beta 40 peptide,IC50,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,46000.0,nM,=,CHEMBL264006,inactive,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,organic,4.337242168318426
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,129000.0,nM,=,CHEMBL193971,inactive,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,organic,3.8894102897007508
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,83000.0,nM,=,CHEMBL194274,inactive,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,organic,4.080921907623926
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,67000.0,nM,=,CHEMBL196321,inactive,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,organic,4.173925197299174
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,210000.0,nM,=,CHEMBL196322,inactive,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,organic,3.677780705266081
