SMILES,pIC50,weight,logp,h_bond_donor,h_bond_acceptors,rotatable_bonds,atoms,heavy_atoms,molar_refractivity,topological_polar_surface_area,formal_charge,rings
CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,5.301029995663981,311.135528164,3.3188000000000013,1.0,2.0,3.0,21.0,21.0,79.73850000000004,46.17,0.0,3.0
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,5.568636235841013,299.101370912,3.241200000000002,1.0,3.0,3.0,19.0,19.0,77.65750000000006,46.17,0.0,3.0
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,5.7447274948966935,311.135528164,3.3188000000000013,1.0,2.0,3.0,21.0,21.0,79.73850000000004,46.17,0.0,3.0
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,4.958607314841775,327.105977624,3.8331000000000026,1.0,2.0,3.0,21.0,21.0,84.79050000000005,46.17,0.0,3.0
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,5.0,371.05546204399997,3.9422000000000033,1.0,2.0,3.0,21.0,21.0,87.48050000000005,46.17,0.0,3.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.515700160653214,244.089957876,3.6808000000000023,1.0,1.0,3.0,18.0,18.0,67.88680000000002,37.3,0.0,2.0
CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,4.1249387366083,312.012013172,4.987600000000002,1.0,1.0,3.0,20.0,20.0,77.90680000000003,37.3,0.0,2.0
CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.113509274827518,312.012013172,4.987600000000002,1.0,1.0,3.0,20.0,20.0,77.90680000000003,37.3,0.0,2.0
CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.026872146400302,312.012013172,4.987600000000002,1.0,1.0,3.0,20.0,20.0,77.90680000000003,37.3,0.0,2.0
CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,4.6777807052660805,326.168208196,5.728500000000004,1.0,1.0,4.0,24.0,24.0,93.71280000000006,37.3,0.0,3.0
CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,4.337242168318426,326.168208196,5.728500000000004,1.0,1.0,4.0,24.0,24.0,93.71280000000006,37.3,0.0,3.0
CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,3.889410289700751,312.077342504,4.699600000000003,1.0,1.0,3.0,22.0,22.0,72.88880000000002,37.3,0.0,2.0
CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,4.080921907623926,300.062028876,4.895500000000003,1.0,2.0,3.0,21.0,21.0,83.26980000000005,37.3,0.0,3.0
COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,4.173925197299174,274.10052256,3.689400000000002,1.0,2.0,4.0,20.0,20.0,74.43880000000003,46.53,0.0,2.0
CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,3.677780705266081,288.07978711600003,3.4095000000000013,1.0,3.0,3.0,21.0,21.0,74.00980000000004,55.760000000000005,0.0,3.0
CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,4.3872161432802645,342.163122816,5.392300000000004,1.0,2.0,5.0,25.0,25.0,95.38780000000007,46.53,0.0,3.0
CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,4.455931955649724,336.116172624,5.053400000000004,2.0,2.0,4.0,25.0,25.0,94.98760000000003,57.53,0.0,3.0
O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,3.9546770212133424,324.077342504,4.627700000000002,1.0,1.0,3.0,23.0,23.0,75.38580000000002,37.3,0.0,3.0
O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,4.657577319177793,324.077342504,4.627700000000002,1.0,1.0,3.0,23.0,23.0,75.38580000000002,37.3,0.0,3.0
O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,4.3872161432802645,324.012013172,4.915700000000002,1.0,1.0,3.0,21.0,21.0,80.40380000000003,37.3,0.0,3.0
O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,4.853871964321762,324.012013172,4.915700000000002,1.0,1.0,3.0,21.0,21.0,80.40380000000003,37.3,0.0,3.0
O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,4.016373712875465,312.062028876,4.823600000000002,1.0,2.0,3.0,22.0,22.0,85.76680000000003,37.3,0.0,4.0
CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,4.337242168318426,366.199508324,6.292700000000005,1.0,1.0,4.0,27.0,27.0,105.37380000000006,37.3,0.0,4.0
CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,3.995678626217357,366.199508324,6.292700000000005,1.0,1.0,4.0,27.0,27.0,105.37380000000006,37.3,0.0,4.0
CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,4.151195298948196,326.092992568,4.873700000000003,1.0,1.0,3.0,23.0,23.0,77.49980000000002,37.3,0.0,2.0
O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,4.5003129173815966,348.116172624,4.981500000000002,2.0,2.0,4.0,26.0,26.0,97.48460000000004,57.53,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,3.388276691992658,348.116172624,4.981500000000002,2.0,2.0,4.0,26.0,26.0,97.48460000000004,57.53,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,4.473660722610156,366.106750812,5.120600000000003,2.0,2.0,4.0,27.0,27.0,97.44260000000003,57.53,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,3.9546770212133424,366.106750812,5.120600000000003,2.0,2.0,4.0,27.0,27.0,97.44260000000003,57.53,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,4.237321436272564,368.10241438,5.554100000000003,1.0,1.0,4.0,27.0,27.0,95.73580000000003,37.3,0.0,4.0
CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,4.958607314841775,410.225723072,6.592600000000005,1.0,2.0,5.0,30.0,30.0,116.21280000000006,46.53,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,4.091514981121351,356.14238737200003,4.166700000000004,1.0,3.0,5.0,26.0,26.0,94.85280000000006,55.760000000000005,0.0,4.0
O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,4.752026733638194,422.15050744399997,6.108800000000004,1.0,2.0,5.0,30.0,30.0,102.81280000000005,46.53,0.0,4.0
CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,3.9430951486635273,336.0998092640001,4.176400000000002,1.0,3.0,3.0,24.0,24.0,78.5327,54.46,0.0,3.0
CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.1938200260161125,311.027997584,4.388300000000002,1.0,1.0,3.0,20.0,20.0,79.46540000000002,43.09,0.0,2.0
CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.920818753952375,311.027997584,4.388300000000002,1.0,1.0,3.0,20.0,20.0,79.46540000000002,43.09,0.0,2.0
CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.698970004336019,368.074613428,6.2447000000000035,0.0,2.0,3.0,24.0,24.0,96.11600000000004,26.3,0.0,2.0
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.552841968657781,244.089957876,3.6808000000000023,1.0,1.0,3.0,18.0,18.0,67.88680000000002,37.3,0.0,2.0
CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,8.2839966563652,655.409755176,5.1006000000000045,4.0,5.0,18.0,48.0,48.0,191.14149999999944,133.63,0.0,3.0
