iter	Passed	Remaining
0	47	47774
1	55	27794
2	66	21942
3	75	18912
4	82	16394
5	86	14340
6	94	13467
7	99	12399
8	111	12271
9	117	11602
10	127	11504
11	139	11504
12	144	10938
13	148	10427
14	155	10240
15	160	9895
16	170	9848
17	178	9727
18	190	9853
19	196	9648
20	203	9476
21	210	9363
22	220	9358
23	227	9251
24	243	9478
25	250	9388
26	258	9311
27	264	9189
28	270	9061
29	275	8916
30	282	8839
31	291	8832
32	299	8767
33	303	8631
34	311	8583
35	320	8590
36	329	8568
37	337	8535
38	345	8519
39	353	8485
40	362	8490
41	418	9545
42	427	9522
43	435	9471
44	448	9521
45	456	9474
46	462	9384
47	467	9274
48	475	9235
49	480	9138
50	488	9098
51	496	9049
52	506	9051
53	515	9037
54	522	8970
55	536	9041
56	542	8972
57	553	8996
58	564	9000
59	570	8932
60	573	8834
61	577	8742
62	585	8709
63	590	8640
64	600	8635
65	606	8588
66	616	8578
67	620	8509
68	625	8444
69	632	8408
70	639	8363
71	646	8333
72	652	8289
73	657	8230
74	663	8181
75	668	8129
76	673	8072
77	680	8042
78	684	7983
79	688	7920
80	695	7891
81	700	7843
82	709	7843
83	714	7789
84	719	7746
85	727	7733
86	732	7688
87	741	7688
88	748	7662
89	758	7664
90	764	7639
91	772	7624
92	781	7621
93	790	7620
94	798	7605
95	807	7600
96	817	7607
97	826	7607
98	832	7576
99	840	7561
100	846	7538
101	854	7525
102	861	7503
103	872	7518
104	881	7517
105	890	7510
106	895	7477
107	901	7448
108	906	7407
109	911	7372
110	917	7351
111	922	7311
112	927	7278
113	932	7248
114	937	7213
115	946	7209
116	952	7189
117	957	7157
118	964	7141
119	970	7114
120	995	7231
121	1012	7289
122	1031	7355
123	1051	7428
124	1057	7405
125	1072	7436
126	1087	7475
127	1092	7439
128	1100	7429
129	1105	7398
130	1110	7365
131	1125	7400
132	1139	7430
133	1153	7457
134	1173	7519
135	1189	7554
136	1201	7570
137	1219	7617
138	1227	7600
139	1236	7595
140	1250	7619
141	1258	7601
142	1265	7584
143	1269	75145	1406	8228
146	1419	8239
147	1430	8237
148	1440	8226
149	1455	8246
150	1478	8314
151	1493	8331
152	1510	8360
153	1516	8328
154	1529	8338
155	1557	8428
156	1578	8472
157	1600	8526
158	1629	8620
159	1640	8613
160	1651	8607
161	1663	8602
162	1671	8584
163	1686	8599
164	1698	8593
165	1709	8586
166	1716	8563
167	1734	8591
168	1750	8609
169	1763	8609
170	1772	8594
171	1779	8568
172	1790	8556
173	1798	8536
174	1808	8527
175	1817	8509
176	1836	8537
177	1842	8509
178	1854	8507
179	1867	8506
180	1882	8519
181	1893	8508
182	1900	8484
183	1904	8444
184	1911	8420
185	1916	8387
186	1920	8348
187	1927	8323
188	1932	8291
189	1941	8275
190	1946	8244
191	1953	8221
192	1961	8200
193	1967	8172
194	1972	8141
195	1977	8110
196	1981	8076
197	1985	8042
198	1991	8014
199	1996	7986
200	2001	7954
201	2009	7940
202	2019	7929
203	2031	7927
204	2043	7924
205	2047	7893
206	2056	7878
207	2064	7860
208	2074	7850
209	2083	7836
210	2089	7813
211	2094	7784
212	2106	7783
213	2112	7758
214	2119	7737
215	2123	7707
216	2128	7680
217	2137	7665
218	2144	7649
219	2153	7634
220	2164	7629
221	2174	7620
222	2182	7605
223	2199	7618
224	2213	7623
225	2224	7617
226	2231	7597
227	2238	7578
228	2252	7583
229	2262	7575
230	2269	7553
231	2279	7544
232	2287	7529
233	2299	7525
234	2312	7527
235	2322	7520
236	2334	7515
237	2348	7518
238	2364	7527
239	2376	7526
240	2381	7501
241	2393	7495
242	2401	7482
243	2408	7463
244	2419	7456
245	2429	7445
246	2440	7441
247	2454	7441
248	2464	7431
249	2476	7428
250	2486	7420
251	2494	7403
252	2503	7392
253	2514	7386
254	2524	7375
255	2533	7361
256	2539	7340
257	2547	7326
258	2572	7360
259	2591	7376
260	2615	7406
261	2621	7383
262	2627	7364
263	2633	7341
264	2640	7323
265	2651	7317
266	2663	7313
267	2676	7311
268	2682	7288
269	2687	7266
270	2693	7246
271	2698	7221
272	2710	7218
273	2723	7217
274	2730	7199
275	2738	7184
276	2744	7163
277	2752	7148
278	2759	7131
279	2774	7134
280	2787	7132
281	2796	7119
282	2803	7101
283	2809	7083
284	2817	7068
285	2822	7046
286	2827	7023
287	2833	7005
288	2853	7019
289	2865	7014
290	2871	6996
291	2876	6974
292	2882	6955
293	2887	6934
294	2895	6919
295	2905	6910
296	2925	6923
297	2932	6908
298	2938	6888
299	2945	6873
300	2950	6852
301	2958	6837
302	2965	6820
303	2969	6798
304	2976	6782
305	2982	6763
306	2990	6749
307	2999	6739
308	3009	6729
309	3017	6717
310	3024	6700
311	3028	6678
312	3035	6662
313	3043	6649
314313	2918	63315314	2933	63316315	2943	6371
316	2957	6372
317	2968	6366
318	2979	6359
319	2987	6349
320	2993	6332
321	3003	6323
322	3010	6309
323	3053	6370
324	3061	63326325	3071	63327326	3077	63328	3213	6553
329328	3125	6374
329	3145	6386
330	3153	6373
331	3167	6373
332	3178	63334333	3200	6382
334	3208	63336335	3216	63337	3347	6556
338	3356	6545
339	3366	6535
340	3379	6530
341	3386	6515
342	3401	6515
343	3415	6514
344	3429	6511
345	3436	6496
346345	3324	62347346	3337	62348347	3341	62349	3489	6480
350	3499	6470
351	3512	6466
352	3529	6469
353	3541	6462
354	3549	6449
355	3566	6451
356	3579	6447
357	3586	6431
358	3598	6424
359	3611	6419
360	3621	6409
361	3628	6395
362	3640	6388
363	3647	6373
364	3656	6360
365	3661	6343
366	3669	6329
367	3710	6372
368	3741	6398
369	3746	6378
370	3756	6368
371	3764	6354
372	3772	6340
373	3783	6332
374	3789	6316
375	3801	6308
376	3808	6293
377	3819	6284
378	3831	6277
379	3838	6262
380	3845	6247
381	3854	6235
382	3862	6222
383	3870	6208
384	3879	6196
385	3884	6179
386	3890	6162
387	3897	6147
388	3904	6132
389	3914	6123
390	3920	6106
391	3929	6095
392	3939	6085
393	3954	6082
394	3964	6072
395	3969	6053
396	3980	6045
397	3990	6035
398	3999	6023
399	4007	6011
400	4014	5996
401	4020	5980
402	4028	5968
403	4039	5959
404	4045	5943
405	4053	5930
406	4061	5916
407	4069	5905
408	4078	5892
409	4084	5878
410	4092	5865
411	4101	5853
412	4107	5837
413	4116	5826
414	4124	5814
415	4134	5803
416	4139	5787
417	4145	5772
418	4152	5757
419	4158	5742
420	4165	5729
421	4172	5715
422	4181	5703
423	4189	5690
424	4198	5680
425	4205	5666
426	4213	5653
427	4223	5644
428	4233	5634
429	4253	5637
430	4263	5629
431	4269	5613
432	4276	5599
433	4282	5584
434	4286	5567
435	4292	5553
436	4298	5537
437	4307	5527
438	4317	5516
439	4325	5504
440	4330	5489
441	4340	5479
442	4348	5467
443	4356	5454
444	4360	5438
445	4365	5423
446	4374	5412
447	4380	5396
448	4388	5384
449	4392	5368
450	4398	5354
451	4405	5341
452	4412	5327
453	4422	5318
454	4428	5304
455	4440	5297
456	4451	5289
457	4457	5275
458	4463	5261
459	4469	5247
460	4476	5234
461	4487	5225
462	4496	5215
463	4505	5205
464	4514	5193
465	4518	5178
466	4524	5163
467	4529	5149
468	4535	5135
469	4540	5120
470	4550	5110
471	4556	5096
472	4564	5085
473	4570	5071
474	4576	5057
475	4582	5044
476	4588	5031
477	4596	5019
478	4602	5005
479	4610	4994
480	4618	4983
481	4626	4972
482	4631	4957
483	4641	4947
484	4647	4935
485	4654	4922
486	4662	4911
487	4668	4897
488	4674	4884
489	4679	4870
